iter	Logloss
0	0.6772229114
1	0.6626710223
2	0.6490676119
3	0.6367340323
4	0.6241110198
5	0.6131407173
6	0.6022838505
7	0.5923659917
8	0.5822997468
9	0.5727804523
10	0.564316191
11	0.5559554087
12	0.5484359993
13	0.5411607044
14	0.5343636181
15	0.528263366
16	0.521886954
17	0.5165732852
18	0.5118302944
19	0.5075314673
20	0.5023660531
21	0.4982691792
22	0.4935135372
23	0.4891920021
24	0.4848931186
25	0.4811243079
26	0.4775255217
27	0.4744407966
28	0.471325005
29	0.4681541141
30	0.4657640962
31	0.4629369469
32	0.4605535065
33	0.4580558774
34	0.4557793393
35	0.4534554628
36	0.451450169
37	0.4491680876
38	0.4472746448
39	0.4452240545
40	0.4436220325
41	0.4418639456
42	0.440292755
43	0.4386046316
44	0.4369933912
45	0.4356407226
46	0.4342014866
47	0.4326741895
48	0.4315248713
49	0.4303491342
50	0.4292513988
51	0.4279614204
52	0.4268513548
53	0.4258332407
54	0.4247914435
55	0.4237656044
56	0.4228857682
57	0.4217775324
58	0.4208533922
59	0.4198703767
60	0.4189815692
61	0.4181441755
62	0.4173114441
63	0.416620312
64	0.4161625027
65	0.4153814283
66	0.4146733503
67	0.4140155172
68	0.4134526572
69	0.4129089277
70	0.4121252471
71	0.411407428
72	0.4107288095
73	0.4101176104
74	0.4093733008
75	0.4088518042
76	0.4083083571
77	0.4077052755
78	0.4070952956
79	0.4064496611
80	0.4058409729
81	0.4053939876
82	0.4048281357
83	0.4044499637
84	0.4040665237
85	0.4036756122
86	0.4032348625
87	0.4028006255
88	0.4023315553
89	0.4018633433
90	0.4014074248
91	0.4008912198
92	0.4003700497
93	0.3999219889
94	0.3996132647
95	0.3992108236
96	0.3988356244
97	0.3985258205
98	0.3982015283
99	0.3978258905
100	0.3975037388
101	0.3971602888
102	0.3967427983
103	0.3965416501
104	0.3961860537
105	0.3959326627
106	0.3956557175
107	0.3953332858
108	0.395047763
109	0.394671305
110	0.3943555881
111	0.3940458739
112	0.3938146115
113	0.3934998893
114	0.393238305
115	0.3929630037
116	0.3927144962
117	0.3924558521
118	0.3921291944
119	0.3917302995
120	0.3916213679
121	0.3913795497
122	0.3911100623
123	0.3908146969
124	0.3905304583
125	0.3902915892
126	0.3900075763
127	0.3896267653
128	0.3893563
129	0.3892037748
130	0.3889940676
131	0.3887995787
132	0.3884777375
133	0.3882827593
134	0.3880045914
135	0.387856372
136	0.3875471569
137	0.3873116803
138	0.3870726984
139	0.386862066
140	0.3866754939
141	0.3863473337
142	0.3860866121
143	0.3858938823
144	0.3856592999
145	0.3854844686
146	0.3852404464
147	0.3850253692
148	0.3847948593
149	0.3845602105
150	0.3843250272
151	0.3840787883
152	0.3839302663
153	0.3837334318
154	0.3834614267
155	0.3832323899
156	0.3829836179
157	0.3826724818
158	0.382540451
159	0.382292787
160	0.3820667236
161	0.3818548453
162	0.3817438464
163	0.3814737034
164	0.381353701
165	0.3811334112
166	0.380954399
167	0.3806796746
168	0.3804441575
169	0.3802810406
170	0.3801089497
171	0.3798518028
172	0.379721965
173	0.3795312246
174	0.3793502864
175	0.3791287772
176	0.3790249786
177	0.3788914829
178	0.3786942611
179	0.3785730802
180	0.3784770467
181	0.3783016126
182	0.3782110577
183	0.3778975269
184	0.3777554083
185	0.3774980011
186	0.377319864
187	0.3771672582
188	0.377089818
189	0.3768426192
190	0.376614229
191	0.3764291124
192	0.3762798926
193	0.3761625816
194	0.3759601906
195	0.3758448831
196	0.3755904181
197	0.3754471355
198	0.3752077377
199	0.3750537839
200	0.3749022841
201	0.3747613484
202	0.3746854699
203	0.3745309647
204	0.3744000975
205	0.3742307184
206	0.3741314252
207	0.3739772356
208	0.373899282
209	0.3738088501
210	0.373563847
211	0.3733242684
212	0.3732841677
213	0.373164474
214	0.3728773459
215	0.3727143504
216	0.3726172207
217	0.3725149883
218	0.3723433814
219	0.372270197
220	0.372050378
221	0.3718076903
222	0.3715957507
223	0.3714462384
224	0.3712258429
225	0.3710647819
226	0.3709031268
227	0.3707537242
228	0.3706126401
229	0.3705138069
230	0.3702783663
231	0.3701643404
232	0.3698814327
233	0.3697272667
234	0.3695099493
235	0.3693539168
236	0.3692448014
237	0.3691315366
238	0.3689409746
239	0.3688017493
240	0.3686653613
241	0.3685174245
242	0.3683857676
243	0.368188243
244	0.3680540364
245	0.3679128698
246	0.3677882763
247	0.3677709653
248	0.3677013451
249	0.3675535328
250	0.3674345386
251	0.367296925
252	0.367158396
253	0.3670430086
254	0.3668679179
255	0.3667787779
256	0.3665804296
257	0.3663582652
258	0.3662114582
259	0.3660510624
260	0.365931889
261	0.3657050067
262	0.3654846037
263	0.3653389141
264	0.3651429511
265	0.3649879608
266	0.3648269761
267	0.364669035
268	0.3645225003
269	0.3643806897
270	0.3642517883
271	0.3640940536
272	0.3639787279
273	0.363834933
274	0.3636939582
275	0.363601781
276	0.3633764131
277	0.363248989
278	0.3630756656
279	0.3629230325
280	0.3628263557
281	0.3627301125
282	0.3625354164
283	0.3624100474
284	0.3622740346
285	0.3621638836
286	0.3620587846
287	0.3619825166
288	0.3618593333
289	0.3617209684
290	0.3616164277
291	0.3614334113
292	0.3611646751
293	0.3610034846
294	0.3608950609
295	0.3608085832
296	0.3607076585
297	0.3606158218
298	0.3604533742
299	0.3603112952
300	0.3601755731
301	0.3600793757
302	0.3599196358
303	0.3597264526
304	0.359583964
305	0.3594140614
306	0.3592550409
307	0.359099621
308	0.358999335
309	0.3589171761
310	0.3588142434
311	0.3587106889
312	0.3585340195
313	0.3584023563
314	0.3582652374
315	0.3580881888
316	0.3578760586
317	0.3576716893
318	0.3576100858
319	0.3575949825
320	0.3574969088
321	0.3574384498
322	0.3573273527
323	0.3572199878
324	0.3570783026
325	0.3569535185
326	0.356846581
327	0.3567768283
328	0.356650864
329	0.3565024578
330	0.3563901844
331	0.3562820821
332	0.3561424478
333	0.355951566
334	0.3558248876
335	0.3556419872
336	0.3554842077
337	0.3552397844
338	0.3551151369
339	0.3550085504
340	0.3548954923
341	0.3547171361
342	0.3546416407
343	0.3545413788
344	0.3544528758
345	0.354307338
346	0.3542316169
347	0.3540590927
348	0.353919402
349	0.3538605135
350	0.3537968
351	0.3536830332
352	0.353534111
353	0.3533689619
354	0.353293789
355	0.3531815574
356	0.3530895312
357	0.3529331961
358	0.3528017321
359	0.3527267623
360	0.3525771943
361	0.3524263293
362	0.3523470467
363	0.3522312978
364	0.3521599035
365	0.3520337957
366	0.351986617
367	0.3517980925
368	0.3516403701
369	0.3514490103
370	0.3512421749
371	0.3510162038
372	0.3508214244
373	0.3507262322
374	0.3506535655
375	0.3505334719
376	0.3503578148
377	0.3502938164
378	0.3502010632
379	0.350042735
380	0.3499665401
381	0.3498601468
382	0.3497204394
383	0.3497169456
384	0.3495756544
385	0.3494911546
386	0.3493877561
387	0.3492875644
388	0.349187141
389	0.3490560016
390	0.3489149611
391	0.3487902869
392	0.3486304142
393	0.3484587528
394	0.348320739
395	0.3482228407
396	0.3481565751
397	0.3480236901
398	0.3478790472
399	0.3477639061
400	0.3475886209
401	0.3475109671
402	0.3473679221
403	0.3471942074
404	0.3470659831
405	0.3469440224
406	0.3467616129
407	0.3466094129
408	0.3464713426
409	0.3463869481
410	0.3462563902
411	0.3461535596
412	0.346050562
413	0.3459470676
414	0.3458640764
415	0.3457281718
416	0.3456043981
417	0.3454843447
418	0.3453792753
419	0.345297057
420	0.3451924471
421	0.3450996324
422	0.344968364
423	0.3448324179
424	0.3447017079
425	0.3444654168
426	0.3443731157
427	0.3442332967
428	0.3440809274
429	0.3439254363
430	0.3438668231
431	0.3437993637
432	0.3437090592
433	0.3436312896
434	0.3435226169
435	0.3433798323
436	0.343187967
437	0.343106924
438	0.3429647878
439	0.3427871532
440	0.3426556615
441	0.3424777054
442	0.3423155943
443	0.3422206925
444	0.342066237
445	0.3419539574
446	0.3418148899
447	0.3416696749
448	0.3415989355
449	0.3415000859
450	0.3413842392
451	0.3412751689
452	0.3411234734
453	0.3410831967
454	0.3409545293
455	0.3408223754
456	0.3407439625
457	0.340609225
458	0.3404820916
459	0.340354558
460	0.3402375011
461	0.3400925756
462	0.34001232
463	0.3398717225
464	0.3397672363
465	0.3396672838
466	0.3395615337
467	0.33945164
468	0.3393637748
469	0.3392709155
470	0.3391855995
471	0.3390949291
472	0.338971504
473	0.3388664468
474	0.3387400399
475	0.3386513197
476	0.338515472
477	0.3384285896
478	0.3383007988
479	0.338216724
480	0.3380667328
481	0.3379676502
482	0.3378807428
483	0.3377967493
484	0.3376503288
485	0.3375421225
486	0.337465562
487	0.3373500937
488	0.3372600783
489	0.3371681898
490	0.337099711
491	0.3369901022
492	0.3368052783
493	0.3366864425
494	0.3365857659
495	0.3364799392
496	0.3363352983
497	0.3362139194
498	0.3360879637
499	0.3360057371
500	0.3358627298
501	0.3357788973
502	0.3356657729
503	0.3355602923
504	0.3354593987
505	0.3353809875
506	0.3352462752
507	0.3351482303
508	0.3350855488
509	0.3349768979
510	0.3348396081
511	0.334696584
512	0.3346072295
513	0.3344960928
514	0.3344005937
515	0.3342101325
516	0.3340597764
517	0.3338977874
518	0.3338023654
519	0.3336900744
520	0.333586493
521	0.3335100596
522	0.3334096859
523	0.3332405296
524	0.3331443876
525	0.3330718564
526	0.3329835623
527	0.3328789567
528	0.33274739
529	0.3326168072
530	0.3324353745
531	0.3322757624
532	0.3321971334
533	0.3320268881
534	0.3319629172
535	0.3318347812
536	0.3317620868
537	0.3316700498
538	0.3315361438
539	0.3314516004
540	0.3313323247
541	0.3312443952
542	0.3311430112
543	0.3310404351
544	0.3309609082
545	0.3308302806
546	0.3307615956
547	0.3306891908
548	0.3306073449
549	0.3305441544
550	0.3304252636
551	0.3303447571
552	0.3301756943
553	0.3300688283
554	0.3300031999
555	0.3299060753
556	0.3297755354
557	0.3296544026
558	0.3295649185
559	0.3294158694
560	0.3292731753
561	0.3291646476
562	0.3290552379
563	0.3289574327
564	0.3288764284
565	0.3287763987
566	0.3286819227
567	0.3286162267
568	0.3285306937
569	0.3284014205
570	0.3282697583
571	0.3282345606
572	0.3281361301
573	0.3280315391
574	0.3279766296
575	0.3279016858
576	0.3277873225
577	0.3276740482
578	0.3275217814
579	0.3274610986
580	0.3273860849
581	0.3273234152
582	0.3272049933
583	0.3270680607
584	0.3269926828
585	0.3268291606
586	0.326733795
587	0.3266719184
588	0.3265381496
589	0.3264075081
590	0.3262770423
591	0.3261163053
592	0.3259916524
593	0.3258628154
594	0.3257662602
595	0.3257013413
596	0.3255843225
597	0.3254707332
598	0.3253702721
599	0.3252823651
600	0.3252262559
601	0.3251001588
602	0.3249726584
603	0.3248856223
604	0.324817455
605	0.3246756259
606	0.3245335246
607	0.3244767431
608	0.3243491996
609	0.3242373928
610	0.3240631666
611	0.3239410252
612	0.3238831112
613	0.3237682904
614	0.3236721079
615	0.3235714494
616	0.323507536
617	0.3234238852
618	0.3233805371
619	0.323323079
620	0.3232021773
621	0.3230796398
622	0.3229951853
623	0.3228803855
624	0.3227820245
625	0.322722608
626	0.3225722891
627	0.3224759499
628	0.3223873629
629	0.3222963578
630	0.3222281684
631	0.3221106572
632	0.3219536149
633	0.3217685415
634	0.3217264619
635	0.3216336498
636	0.3215538573
637	0.3214754602
638	0.3213031799
639	0.3211684991
640	0.3211111896
641	0.3209660438
642	0.3208289395
643	0.3207134515
644	0.3206134545
645	0.3205442999
646	0.3204833474
647	0.3203985601
648	0.3203252606
649	0.3201829988
650	0.3200664971
651	0.3200168212
652	0.3199286124
653	0.3198788613
654	0.3197818493
655	0.3196819862
656	0.3196339939
657	0.3194847901
658	0.319404495
659	0.3193029382
660	0.3191282109
661	0.3188912202
662	0.3187986141
663	0.3186834213
664	0.3186009704
665	0.3184866833
666	0.3183764607
667	0.3182411675
668	0.3181867541
669	0.3181094104
670	0.3179970022
671	0.3179433781
672	0.3177758464
673	0.3177173791
674	0.3176307149
675	0.3175531304
676	0.3174271561
677	0.317377794
678	0.317268803
679	0.317095856
680	0.3169917872
681	0.3168861543
682	0.3168100993
683	0.3167582783
684	0.3165944485
685	0.316449405
686	0.3163268819
687	0.3162767724
688	0.3161651026
689	0.3160765242
690	0.3159749732
691	0.3158724926
692	0.3157869929
693	0.3157320421
694	0.3156435167
695	0.3155399105
696	0.3154786333
697	0.3153489304
698	0.3153017799
699	0.3151743681
700	0.3150693371
701	0.3149647534
702	0.3148361481
703	0.3147376701
704	0.3146843602
705	0.3145894439
706	0.3144564966
