iter	Passed	Remaining
0	9	9826
1	19	9892
2	29	9642
3	37	9411
4	45	9040
5	55	9141
6	63	8959
7	72	9041
8	82	9091
9	92	9129
10	101	9159
11	111	9186
12	121	9224
13	130	9225
14	140	9252
15	150	9246
16	160	9261
17	169	9265
18	179	9259
19	189	9261
20	198	9258
21	208	9256
22	218	9266
23	228	9310
24	237	9261
25	247	9269
26	257	9281
27	267	9278
28	278	9311
29	288	9312
30	297	9292
31	307	9288
32	317	9296
33	327	9295
34	336	9282
35	346	9269
36	355	9264
37	365	9257
38	375	9251
39	385	9242
40	394	9237
41	404	9230
42	414	9223
43	423	9204
44	433	9203
45	443	9191
46	453	9186
47	462	9173
48	472	9166
49	481	9153
50	491	9145
51	501	9136
52	511	9139
53	521	9129
54	530	9118
55	540	9106
56	550	9099
57	559	9086
58	569	9080
59	579	9072
60	588	9066
61	598	9057
62	608	9045
63	617	9036
64	627	9026
65	637	9016
66	646	9004
67	656	8996
68	665	8982
69	675	8970
70	684	8955
71	694	8947
72	704	8939
73	713	8927
74	722	8915
75	732	8906
76	742	8898
77	752	8891
78	761	8878
79	771	8869
80	780	8854
81	789	8837
82	798	8827
83	808	8814
84	839	9035
85	855	9092
86	873	9167
87	884	9166
88	894	9151
89	903	9136
90	913	9123
91	922	9108
92	932	9096
93	942	9083
94	952	9070
95	961	9055
96	971	9040
97	981	9030
98	990	9014
99	1000	9005
100	1010	8994
101	1020	8984
102	1030	8971
103	1039	8956
104	1049	8944
105	1059	8933
106	1069	8921
107	1078	8911
108	1085	8877
109	1095	8860
110	1104	8848
111	1114	8835
112	1124	8824
113	1134	8813
114	1143	8801
115	1154	8800
116	1164	8789
117	1174	8779
118	1184	8772
119	1194	8763
120	1204	8751
121	1215	8750
122	1225	8736
123	1233	8717
124	1243	8706
125	1254	8699
126	1264	8690
127	1274	8680
128	1282	8662
129	1293	8653
130	1302	8640
131	1312	8627
132	1321	8616
133	1331	8607
134	1342	8598
135	1351	8585
136	1360	8571
137	1370	8559
138	1380	8548
139	1389	8536
140	1399	8527
141	1409	8514
142	1419	8505
143	1429	8497
144	1434	8459
145	1443	8445
146	1453	8434
147	1463	8423
148	1472	8412
149	1482	8401
150	1491	8388
151	1501	8375
152	1510	8362
153	1520	8350
154	1529	8340
155	1539	8327
156	1548	8315
157	1558	8303
158	1567	8291
159	1577	8281
160	1586	8268
161	1596	8257
162	1606	8247
163	1616	8238
164	1625	8226
165	1635	8214
166	1644	8203
167	1651	8180
168	1661	8167
169	1670	8155
170	1680	8145
171	1689	8133
172	1699	8123
173	1709	8113
174	1719	8104
175	1728	8094
176	1738	8085
177	1748	8074
178	1758	8063
179	1767	8050
180	1776	8039
181	1786	8028
182	1795	8017
183	1805	8006
184	1814	7994
185	1824	7983
186	1833	7972
187	1843	7961
188	1852	7949
189	1862	7938
190	1871	7927
191	1881	7917
192	1890	7906
193	1900	7894
194	1909	7883
195	1918	7869
196	1928	7858
197	1937	7847
198	1947	7837
199	1956	7825
200	1965	7814
201	1975	7803
202	1984	7791
203	1994	7780
204	2003	7770
205	2013	7759
206	2022	7749
207	2032	7737
208	2041	7725
209	2051	7715
210	2061	7707
211	2070	7696
212	2080	7686
213	2089	7676
214	2099	7666
215	2109	7655
216	2118	7643
217	2127	7632
218	2137	7622
219	2146	7610
220	2156	7599
221	2165	7588
222	2174	7578
223	2184	7567
224	2193	7556
225	2203	7546
226	2213	7536
227	2222	7526
228	2232	7516
229	2242	7507
230	2252	7498
231	2261	7486
232	2271	7476
233	2280	7466
234	2290	7456
235	2299	7445
236	2308	7433
237	2318	7421
238	2328	7414
239	2338	7404
240	2347	7393
241	2356	7381
242	2366	7372
243	2377	7366
244	2387	7356
245	2396	7345
246	2406	7335
247	2415	7325
248	2425	7316
249	2435	7305
250	2444	7295
251	2455	7287
252	2465	7280
253	2476	7272
254	2486	7263
255	2495	7253
256	2505	7243
257	2515	7235
258	2524	7223
259	2534	7212
260	2541	7195
261	2550	7185
262	2560	7175
263	2569	7163
264	2579	7154
265	2589	7144
266	2598	7134
267	2608	7124
268	2618	7115
269	2628	7105
270	2638	7096
271	2647	7086
272	2655	7072
273	2665	7061
274	2674	7049
275	2681	7035
276	2691	7024
277	2700	7014
278	2710	7003
279	2720	6994
280	2731	6988
281	2742	6983
282	2752	6973
283	2762	6963
284	2771	6954
285	2781	6944
286	2791	6934
287	2801	6924
288	2810	6915
289	2820	6906
290	2830	6897
291	2840	6886
292	2849	6876
293	2859	6865
294	2868	6855
295	2875	6837
296	2884	6827
297	2893	6816
298	2903	6806
299	2912	6795
300	2921	6784
301	2931	6774
302	2937	6757
303	2947	6748
304	2957	6738
305	2967	6729
306	2977	6720
307	2986	6710
308	2998	6705
309	3008	6697
310	3019	6689
311	3029	6680
312	3040	6672
313	3049	6661
314	3058	6651
315	3069	6644
316	3079	6635
317	3092	6631
318	3102	6623
319	3113	6615
320	3124	6610
321	3135	6601
322	3142	6586
323	3149	6570
324	3155	6553
325	3161	6536
326	3175	6535
327	3189	6535
328	3202	6530
329	3213	6525
330	3226	6521
331	3241	6521
332	3253	6516
333	3262	6505
334	3270	6492
335	3278	6478
336	3284	6460
337	3290	6443
338	3295	6425
339	3301	6407
340	3306	6390
341	3312	6373
342	3318	6356
343	3323	6338
344	3330	6324
345	3339	6312
346	3348	6300
347	3354	6285
348	3359	6267
349	3371	6261
350	3382	6254
351	3394	6249
352	3406	6242
353	3417	6236
354	3429	6230
355	3440	6223
356	3451	6215
357	3460	6205
358	3472	6199
359	3483	6192
360	3493	6184
361	3505	6177
362	3515	6168
363	3525	6160
364	3535	6150
365	3546	6142
366	3557	6135
367	3566	6125
368	3577	6118
369	3589	6111
370	3600	6104
371	3611	6096
372	3622	6088
373	3633	6080
374	3644	6074
375	3655	6065
376	3663	6054
377	3671	6041
378	3680	6031
379	3690	6021
380	3700	6011
381	3709	6001
382	3719	5991
383	3728	5980
384	3736	5968
385	3746	5959
386	3755	5948
387	3765	5938
388	3774	5928
389	3783	5918
390	3793	5908
391	3803	5899
392	3813	5889
393	3822	5879
394	3832	5870
395	3842	5860
396	3851	5850
397	3861	5840
398	3871	5832
399	3882	5823
400	3890	5811
401	3899	5801
402	3909	5791
403	3918	5780
404	3929	5772
405	3939	5763
406	3948	5753
407	3958	5743
408	3967	5733
409	3977	5723
410	3986	5713
411	3996	5703
412	4006	5693
413	4016	5685
414	4026	5676
415	4036	5666
416	4046	5658
417	4056	5647
418	4063	5634
419	4072	5624
420	4082	5614
421	4090	5602
422	4100	5593
423	4110	5584
424	4121	5575
425	4130	5565
426	4140	5555
427	4149	5546
428	4159	5536
429	4170	5527
430	4179	5518
431	4189	5508
432	4198	5498
433	4209	5489
434	4219	5480
435	4228	5470
436	4238	5460
437	4248	5450
438	4257	5440
439	4266	5430
440	4276	5420
441	4285	5410
442	4295	5400
443	4304	5390
444	4314	5381
445	4322	5369
446	4332	5359
447	4341	5349
448	4350	5339
449	4360	5329
450	4369	5319
451	4379	5309
452	4388	5298
453	4397	5288
454	4406	5278
455	4416	5268
456	4425	5258
457	4435	5249
458	4444	5238
459	4454	5229
460	4463	5219
461	4473	5209
462	4482	5198
463	4491	5188
464	4501	5178
465	4510	5168
466	4519	5158
467	4529	5148
468	4539	5139
469	4548	5129
470	4557	5119
471	4566	5108
472	4576	5099
473	4585	5088
474	4597	5080
475	4606	5071
476	4616	5061
477	4625	5051
478	4636	5042
479	4644	5031
480	4653	5021
481	4663	5011
482	4672	5001
483	4681	4991
484	4691	4981
485	4701	4972
486	4710	4962
487	4720	4952
488	4730	4943
489	4739	4932
490	4748	4923
491	4758	4913
492	4767	4903
493	4777	4893
494	4786	4883
495	4795	4873
496	4805	4863
497	4814	4853
498	4824	4843
499	4833	4833
500	4842	4823
501	4852	4813
502	4861	4803
503	4871	4793
504	4880	4783
505	4890	4774
506	4900	4764
507	4909	4754
508	4919	4745
509	4928	4735
510	4937	4725
511	4947	4715
512	4956	4705
513	4966	4695
514	4976	4686
515	4986	4676
516	4996	4667
517	5005	4657
518	5014	4647
519	5024	4637
520	5034	4628
521	5043	4618
522	5053	4608
523	5063	4599
524	5073	4589
525	5083	4581
526	5092	4570
527	5101	4560
528	5111	4551
529	5121	4541
530	5131	4531
531	5141	4523
532	5151	4513
533	5161	4504
534	5170	4494
535	5180	4484
536	5189	4474
537	5199	4464
538	5208	4454
539	5218	4445
540	5228	4435
541	5237	4426
542	5247	4416
543	5258	4407
544	5269	4399
545	5280	4390
546	5289	4380
547	5298	4370
548	5305	4358
549	5315	4349
550	5325	4339
551	5334	4329
552	5344	4319
553	5353	4309
554	5363	4300
555	5372	4290
556	5381	4280
557	5392	4271
558	5403	4262
559	5414	4253
560	5424	4245
561	5433	4235
562	5443	4225
563	5453	4215
564	5462	4205
565	5472	4196
566	5481	4186
567	5491	4176
568	5502	4167
569	5512	4158
570	5521	4148
571	5530	4138
572	5541	4129
573	5550	4119
574	5560	4109
575	5570	4100
576	5579	4090
577	5589	4080
578	5599	4071
579	5609	4062
580	5618	4052
581	5627	4042
582	5637	4032
583	5647	4022
584	5656	4012
585	5665	4002
586	5676	3993
587	5686	3984
588	5695	3974
589	5705	3964
590	5715	3955
591	5725	3945
592	5734	3935
593	5744	3926
594	5753	3916
595	5762	3906
596	5772	3896
597	5782	3887
598	5791	3877
599	5801	3867
600	5810	3857
601	5820	3847
602	5829	3838
603	5838	3828
604	5848	3818
605	5858	3808
606	5867	3798
607	5876	3788
608	5885	3778
609	5895	3769
610	5904	3759
611	5914	3749
612	5923	3739
613	5933	3729
614	5942	3719
615	5951	3710
616	5961	3700
617	5970	3690
618	5980	3681
619	5990	3671
620	5999	3661
621	6009	3651
622	6018	3642
623	6028	3632
624	6037	3622
625	6047	3612
626	6057	3603
627	6066	3593
628	6076	3583
629	6086	3574
630	6095	3564
631	6105	3555
632	6115	3545
633	6124	3535
634	6134	3525
635	6143	3516
636	6153	3506
637	6162	3496
638	6172	3486
639	6181	3477
640	6191	3467
641	6201	3458
642	6210	3448
643	6220	3438
644	6229	3428
645	6239	3419
646	6249	3409
647	6258	3399
648	6268	3390
649	6278	3380
650	6287	3370
651	6297	3361
652	6307	3351
653	6316	3341
654	6325	3331
655	6335	3322
656	6344	3312
657	6354	3302
658	6363	3292
659	6373	3283
660	6382	3273
661	6391	3263
662	6401	3253
663	6410	3244
664	6420	3234
665	6429	3224
666	6439	3214
667	6448	3205
668	6458	3195
669	6467	3185
670	6477	3175
671	6486	3166
672	6496	3156
673	6505	3146
674	6515	3137
675	6525	3127
676	6534	3117
677	6543	3107
678	6553	3098
679	6562	3088
680	6572	3078
681	6581	3068
682	6590	3058
683	6600	3049
684	6609	3039
685	6619	3030
686	6629	3020
687	6638	3010
688	6649	3001
689	6659	2991
690	6669	2982
691	6678	2972
692	6689	2963
693	6699	2953
694	6709	2944
695	6718	2934
696	6728	2925
697	6738	2915
698	6748	2905
